Index,Age,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,YearsAtCompany
43,26,Travel_Rarely,Research & Development,25,Life Sciences,Male,Laboratory Technician,3,Single,2293,No,1,1
44,27,Travel_Frequently,Sales,8,Life Sciences,Male,Sales Executive,3,Single,8726,No,9,9
45,30,Travel_Frequently,Research & Development,1,Medical,Female,Laboratory Technician,4,Single,4011,No,12,12
46,41,Travel_Rarely,Research & Development,12,Technical Degree,Female,Research Director,3,Married,19545,No,23,22
47,34,Non-Travel,Sales,23,Marketing,Male,Sales Executive,3,Single,4568,No,10,9
48,37,Travel_Rarely,Research & Development,19,Life Sciences,Male,Research Scientist,2,Married,3022,No,8,1
49,46,Travel_Frequently,Sales,5,Marketing,Male,Sales Executive,4,Single,5772,Yes,14,9
50,35,Travel_Rarely,Research & Development,8,Life Sciences,Male,Laboratory Technician,4,Married,2269,No,1,1
51,48,Travel_Rarely,Research & Development,1,Life Sciences,Male,Laboratory Technician,3,Single,5381,Yes,23,1
52,28,Travel_Rarely,Research & Development,5,Technical Degree,Male,Laboratory Technician,3,Single,3441,Yes,2,2
53,44,Travel_Rarely,Sales,1,Marketing,Female,Sales Executive,1,Divorced,5454,Yes,9,4
54,35,Non-Travel,Research & Development,11,Medical,Male,Healthcare Representative,1,Married,9884,Yes,10,4
55,26,Travel_Rarely,Sales,23,Marketing,Female,Sales Executive,4,Married,4157,Yes,5,2
56,33,Travel_Frequently,Research & Development,1,Life Sciences,Female,Research Director,4,Single,13458,Yes,15,15
57,35,Travel_Frequently,Sales,18,Life Sciences,Male,Sales Executive,1,Married,9069,No,9,9
58,35,Travel_Rarely,Research & Development,23,Medical,Female,Laboratory Technician,1,Married,4014,Yes,4,2
59,31,Travel_Rarely,Research & Development,7,Life Sciences,Male,Laboratory Technician,4,Divorced,5915,No,10,7
60,37,Travel_Rarely,Research & Development,1,Life Sciences,Male,Manufacturing Director,3,Divorced,5993,No,7,7
61,32,Travel_Rarely,Research & Development,1,Medical,Male,Manufacturing Director,4,Married,6162,Yes,9,9
62,38,Travel_Frequently,Research & Development,29,Life Sciences,Female,Laboratory Technician,4,Single,2406,No,10,10
63,50,Travel_Rarely,Research & Development,7,Medical,Female,Research Director,3,Divorced,18740,Yes,29,27
64,59,Travel_Rarely,Sales,25,Life Sciences,Female,Sales Executive,1,Single,7637,No,28,21
65,36,Travel_Rarely,Research & Development,8,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,No,17,17
66,55,Travel_Rarely,Research & Development,8,Medical,Female,Manager,3,Divorced,14756,Yes,21,5
67,36,Travel_Frequently,Research & Development,11,Life Sciences,Male,Manufacturing Director,2,Single,6499,No,6,6
68,45,Travel_Rarely,Research & Development,7,Life Sciences,Male,Research Scientist,1,Divorced,9724,No,25,1
69,35,Travel_Frequently,Research & Development,1,Medical,Male,Research Scientist,1,Married,2194,No,5,3
70,36,Travel_Rarely,Research & Development,9,Medical,Male,Research Scientist,3,Married,3388,Yes,2,1
71,59,Travel_Frequently,Sales,1,Life Sciences,Female,Sales Executive,3,Single,5473,No,20,4
72,29,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,2,Married,2703,No,6,5
73,31,Travel_Rarely,Research & Development,1,Medical,Male,Research Scientist,2,Single,2501,No,1,1
74,32,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,2,Married,6220,No,10,10
75,36,Travel_Rarely,Research & Development,6,Life Sciences,Female,Laboratory Technician,4,Married,3038,No,5,1
76,31,Travel_Rarely,Research & Development,8,Life Sciences,Female,Manufacturing Director,4,Single,4424,No,11,11
77,35,Travel_Rarely,Sales,1,Marketing,Male,Sales Executive,1,Single,4312,No,16,15
78,45,Travel_Rarely,Research & Development,6,Other,Male,Research Director,1,Married,13245,Yes,17,0
79,37,Travel_Rarely,Research & Development,7,Medical,Male,Research Director,3,Single,13664,No,16,5
80,46,Travel_Rarely,Human Resources,5,Medical,Male,Human Resources,2,Divorced,5021,Yes,16,4
81,30,Travel_Rarely,Research & Development,1,Life Sciences,Male,Laboratory Technician,4,Married,5126,Yes,10,10
82,35,Travel_Rarely,Research & Development,1,Medical,Male,Research Scientist,3,Single,2859,No,6,6
83,55,Travel_Rarely,Sales,1,Life Sciences,Male,Sales Executive,4,Married,10239,No,24,1
84,38,Non-Travel,Research & Development,6,Medical,Female,Research Scientist,4,Divorced,5329,Yes,17,13
85,34,Travel_Rarely,Research & Development,1,Medical,Male,Manufacturing Director,2,Married,4325,No,5,5
86,56,Travel_Rarely,Research & Development,7,Life Sciences,Male,Manufacturing Director,4,Single,7260,No,37,6
87,23,Travel_Rarely,Sales,2,Technical Degree,Male,Sales Representative,1,Divorced,2322,No,3,0
88,51,Travel_Rarely,Research & Development,9,Life Sciences,Male,Laboratory Technician,4,Married,2075,No,10,4
89,30,Travel_Rarely,Research & Development,2,Life Sciences,Male,Healthcare Representative,4,Married,4152,No,11,11
90,46,Travel_Rarely,Sales,9,Medical,Male,Sales Executive,4,Single,9619,No,9,9
91,40,Travel_Frequently,Research & Development,1,Life Sciences,Male,Healthcare Representative,2,Married,13503,No,22,22
92,51,Travel_Rarely,Sales,21,Marketing,Male,Sales Executive,4,Single,5441,Yes,11,10
93,30,Travel_Rarely,Sales,4,Medical,Female,Sales Executive,2,Divorced,5209,Yes,11,11
94,46,Travel_Frequently,Research & Development,1,Medical,Male,Healthcare Representative,1,Married,10673,Yes,21,10
95,32,Travel_Rarely,Sales,6,Medical,Male,Sales Executive,3,Single,5010,No,12,11
96,54,Travel_Rarely,Research & Development,2,Technical Degree,Female,Research Director,3,Married,13549,No,16,4
97,24,Travel_Rarely,Sales,3,Other,Female,Sales Executive,3,Married,4999,No,4,3
98,28,Non-Travel,Sales,4,Medical,Male,Sales Executive,3,Married,4221,No,5,5
99,58,Travel_Rarely,Sales,10,Medical,Male,Sales Executive,3,Single,13872,No,38,37
100,44,Non-Travel,Research & Development,23,Medical,Male,Laboratory Technician,2,Married,2042,No,17,3
101,37,Travel_Rarely,Human Resources,6,Human Resources,Male,Human Resources,1,Divorced,2073,Yes,7,3
102,32,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,1,Single,2956,No,1,1
103,20,Travel_Frequently,Research & Development,6,Life Sciences,Female,Laboratory Technician,4,Single,2926,Yes,1,1
104,34,Travel_Rarely,Research & Development,6,Other,Female,Research Scientist,3,Single,4809,No,16,16
105,37,Non-Travel,Research & Development,2,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,No,17,1
106,59,Non-Travel,Human Resources,2,Human Resources,Female,Manager,4,Married,18844,No,30,3
107,50,Travel_Frequently,Research & Development,1,Life Sciences,Female,Research Director,2,Married,18172,Yes,28,8
108,25,Travel_Rarely,Sales,5,Marketing,Male,Sales Executive,3,Single,5744,Yes,6,6
109,25,Travel_Rarely,Research & Development,7,Medical,Male,Research Scientist,4,Married,2889,No,2,2
110,22,Travel_Rarely,Research & Development,15,Medical,Female,Laboratory Technician,4,Single,2871,No,1,0
111,51,Travel_Frequently,Research & Development,1,Medical,Female,Healthcare Representative,1,Single,7484,No,23,13
112,34,Travel_Frequently,Research & Development,7,Life Sciences,Male,Laboratory Technician,3,Single,6074,Yes,9,9
113,54,Non-Travel,Human Resources,26,Human Resources,Female,Manager,4,Single,17328,Yes,23,5
114,24,Travel_Rarely,Research & Development,18,Life Sciences,Male,Laboratory Technician,3,Married,2774,No,6,5
115,34,Travel_Rarely,Research & Development,6,Life Sciences,Female,Research Scientist,2,Divorced,4505,No,12,1
116,37,Travel_Rarely,Sales,3,Life Sciences,Male,Sales Executive,4,Single,7428,No,12,5
117,34,Travel_Rarely,Research & Development,5,Medical,Female,Manager,1,Single,11631,No,14,11
118,36,Travel_Frequently,Sales,11,Technical Degree,Female,Sales Executive,4,Married,9738,No,10,9
119,36,Travel_Rarely,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,Divorced,2835,No,7,1
120,43,Travel_Frequently,Sales,26,Life Sciences,Male,Manager,4,Married,16959,Yes,25,25
121,30,Travel_Frequently,Research & Development,23,Life Sciences,Male,Research Scientist,3,Divorced,2613,No,10,10
122,33,Non-Travel,Sales,22,Marketing,Male,Sales Executive,2,Married,6146,No,8,7
123,56,Travel_Rarely,Research & Development,14,Life Sciences,Female,Research Scientist,2,Married,4963,Yes,7,5
124,51,Travel_Rarely,Research & Development,6,Life Sciences,Male,Research Director,3,Single,19537,No,23,20
125,31,Travel_Rarely,Sales,6,Life Sciences,Male,Sales Executive,3,Married,6172,Yes,12,7
126,26,Travel_Rarely,Research & Development,6,Other,Female,Research Scientist,2,Married,2368,No,5,5
127,58,Travel_Rarely,Research & Development,23,Medical,Female,Healthcare Representative,4,Married,10312,No,40,40
128,19,Travel_Rarely,Sales,22,Marketing,Male,Sales Representative,3,Single,1675,Yes,0,0
129,22,Travel_Rarely,Research & Development,2,Technical Degree,Male,Laboratory Technician,4,Married,2523,No,3,2
130,49,Travel_Rarely,Research & Development,20,Medical,Female,Manufacturing Director,1,Married,6567,No,16,15
131,43,Travel_Frequently,Research & Development,28,Medical,Female,Research Scientist,3,Single,4739,No,18,3
132,50,Travel_Frequently,Sales,12,Marketing,Female,Sales Executive,4,Single,9208,No,16,2
133,31,Travel_Rarely,Sales,20,Life Sciences,Female,Sales Executive,3,Married,4559,Yes,4,2
134,41,Travel_Rarely,Sales,9,Life Sciences,Male,Sales Executive,3,Divorced,8189,Yes,12,9
135,26,Travel_Rarely,Human Resources,25,Life Sciences,Female,Human Resources,3,Married,2942,No,8,8
136,36,Travel_Rarely,Research & Development,6,Medical,Male,Manufacturing Director,2,Divorced,4941,No,7,3
137,51,Travel_Frequently,Research & Development,8,Life Sciences,Male,Manufacturing Director,4,Single,10650,No,18,4
138,39,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Executive,3,Married,5902,No,17,15
139,25,Travel_Rarely,Sales,28,Life Sciences,Male,Sales Executive,3,Married,8639,No,6,2
140,30,Travel_Rarely,Human Resources,9,Human Resources,Male,Human Resources,4,Married,6347,Yes,12,11
141,32,Travel_Rarely,Research & Development,9,Medical,Female,Laboratory Technician,1,Single,4200,No,10,5
142,45,Travel_Rarely,Research & Development,29,Medical,Male,Research Scientist,4,Single,3452,No,9,6
143,38,Travel_Rarely,Research & Development,3,Technical Degree,Female,Research Scientist,3,Single,4317,Yes,19,3
144,30,Travel_Rarely,Research & Development,18,Life Sciences,Female,Research Scientist,3,Single,2632,No,5,5
145,32,Travel_Frequently,Sales,9,Medical,Male,Sales Executive,4,Divorced,4668,No,9,8
146,30,Travel_Rarely,Research & Development,5,Technical Degree,Female,Research Scientist,1,Divorced,3204,No,8,3
147,30,Travel_Rarely,Research & Development,2,Medical,Male,Laboratory Technician,4,Single,2720,No,6,5
148,41,Travel_Frequently,Research & Development,10,Life Sciences,Male,Manager,1,Divorced,17181,No,21,7
149,41,Travel_Rarely,Research & Development,9,Life Sciences,Male,Laboratory Technician,1,Married,2238,No,7,5
150,19,Travel_Rarely,Research & Development,3,Medical,Female,Laboratory Technician,2,Single,1483,No,1,1
151,40,Travel_Frequently,Research & Development,26,Medical,Female,Research Scientist,2,Divorced,5605,No,20,20
152,35,Travel_Rarely,Sales,1,Marketing,Male,Sales Executive,2,Married,7295,No,10,10
153,53,Travel_Rarely,Sales,6,Marketing,Male,Sales Representative,3,Married,2306,Yes,13,7
154,45,Travel_Rarely,Research & Development,9,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,No,20,17
155,32,Travel_Frequently,Sales,8,Marketing,Female,Sales Executive,4,Single,8998,No,9,9
156,29,Non-Travel,Research & Development,1,Technical Degree,Male,Manufacturing Director,3,Married,4319,No,10,10
157,51,Travel_Rarely,Research & Development,7,Medical,Male,Manufacturing Director,3,Married,6132,No,10,1
158,58,Travel_Rarely,Research & Development,9,Medical,Female,Research Scientist,2,Married,3346,Yes,9,1
159,40,Travel_Rarely,Sales,4,Marketing,Male,Sales Executive,4,Married,10855,No,15,12
160,34,Travel_Frequently,Sales,2,Marketing,Female,Sales Representative,3,Married,2231,No,6,4
161,22,Travel_Rarely,Research & Development,19,Medical,Male,Research Scientist,4,Married,2323,No,2,2
162,27,Non-Travel,Research & Development,9,Medical,Male,Research Scientist,2,Divorced,2024,No,6,2
163,28,Travel_Rarely,Research & Development,21,Medical,Male,Research Scientist,4,Married,2713,No,5,5
164,57,Travel_Rarely,Research & Development,24,Life Sciences,Male,Healthcare Representative,4,Divorced,9439,Yes,12,5
165,27,Non-Travel,Research & Development,3,Medical,Male,Research Scientist,3,Divorced,2566,Yes,1,1
166,50,Travel_Rarely,Research & Development,11,Life Sciences,Female,Manager,2,Single,19926,No,21,5
167,41,Travel_Rarely,Research & Development,14,Life Sciences,Male,Research Scientist,3,Divorced,2451,No,13,9
168,30,Travel_Rarely,Sales,5,Life Sciences,Female,Sales Executive,4,Married,9419,No,12,10
169,38,Travel_Rarely,Sales,1,Life Sciences,Female,Sales Executive,4,Single,8686,No,12,8
170,32,Travel_Rarely,Research & Development,6,Life Sciences,Male,Research Scientist,3,Single,3038,No,8,5
171,27,Travel_Rarely,Research & Development,17,Technical Degree,Male,Research Scientist,2,Married,3058,Yes,6,5
172,19,Travel_Frequently,Sales,1,Technical Degree,Female,Sales Representative,1,Single,2325,No,1,0
173,36,Travel_Frequently,Research & Development,3,Medical,Male,Laboratory Technician,2,Single,2088,No,13,8
174,30,Non-Travel,Research & Development,9,Medical,Male,Laboratory Technician,1,Divorced,3072,No,12,12
175,45,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Executive,1,Divorced,5006,Yes,9,5
176,56,Travel_Rarely,Research & Development,8,Life Sciences,Female,Research Scientist,1,Divorced,4257,Yes,19,2
177,33,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,4,Single,2500,No,4,3
178,19,Travel_Rarely,Research & Development,2,Life Sciences,Male,Laboratory Technician,4,Single,1102,No,1,1
179,46,Travel_Rarely,Sales,1,Marketing,Female,Sales Executive,1,Divorced,10453,No,24,24
180,38,Travel_Rarely,Research & Development,9,Life Sciences,Female,Laboratory Technician,4,Single,2288,No,2,2
181,31,Travel_Rarely,Research & Development,12,Medical,Female,Research Scientist,4,Married,3929,Yes,7,4
182,34,Travel_Rarely,Research & Development,27,Medical,Female,Research Scientist,2,Single,2311,No,9,3
183,41,Travel_Rarely,Sales,20,Marketing,Female,Sales Representative,2,Single,3140,Yes,4,4
184,50,Travel_Rarely,Research & Development,1,Medical,Male,Laboratory Technician,3,Married,3690,No,5,3
185,53,Travel_Rarely,Research & Development,13,Medical,Female,Manufacturing Director,1,Divorced,4450,No,5,4
186,33,Travel_Rarely,Research & Development,14,Medical,Female,Research Scientist,2,Married,2756,No,8,8
187,40,Travel_Rarely,Research & Development,4,Medical,Female,Manager,3,Married,19033,No,21,20
188,55,Travel_Rarely,Research & Development,14,Medical,Male,Research Director,2,Single,18722,No,36,24
189,34,Travel_Frequently,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,Married,9547,No,10,10
190,51,Travel_Rarely,Research & Development,3,Medical,Female,Healthcare Representative,2,Single,13734,No,21,7
191,52,Travel_Rarely,Research & Development,1,Life Sciences,Male,Manager,3,Married,19999,No,34,33
192,27,Travel_Rarely,Research & Development,9,Medical,Female,Research Scientist,2,Single,2279,No,7,7
193,35,Travel_Rarely,Research & Development,23,Life Sciences,Male,Manufacturing Director,3,Married,5916,Yes,8,1
194,43,Non-Travel,Research & Development,7,Medical,Male,Research Scientist,4,Divorced,2089,No,7,5
195,45,Non-Travel,Research & Development,2,Medical,Male,Manager,4,Married,16792,No,22,20
196,37,Travel_Rarely,Research & Development,21,Life Sciences,Male,Research Scientist,1,Married,3564,Yes,8,8
197,35,Travel_Frequently,Research & Development,2,Medical,Female,Laboratory Technician,2,Single,4425,No,10,6
198,42,Non-Travel,Research & Development,21,Medical,Female,Manufacturing Director,3,Divorced,5265,No,11,5
199,38,Travel_Rarely,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,Married,6553,No,14,1
200,38,Travel_Rarely,Research & Development,29,Technical Degree,Male,Manufacturing Director,4,Married,6261,No,9,7
201,27,Travel_Frequently,Research & Development,1,Technical Degree,Male,Manufacturing Director,1,Married,4298,No,6,2
202,49,Non-Travel,Research & Development,18,Life Sciences,Male,Manufacturing Director,4,Divorced,6804,Yes,7,7
203,34,Travel_Frequently,Research & Development,10,Medical,Male,Research Scientist,3,Divorced,3815,Yes,5,5
204,40,Travel_Rarely,Research & Development,19,Medical,Male,Laboratory Technician,4,Married,2741,Yes,15,7
205,38,Travel_Rarely,Research & Development,29,Medical,Male,Healthcare Representative,1,Married,6673,Yes,17,1
206,29,Travel_Rarely,Sales,27,Marketing,Female,Sales Executive,4,Married,7639,No,10,10
207,22,Travel_Rarely,Research & Development,5,Life Sciences,Male,Research Scientist,2,Divorced,2328,Yes,4,4
208,36,Travel_Frequently,Research & Development,18,Medical,Female,Laboratory Technician,4,Single,2153,No,8,8
209,40,Non-Travel,Research & Development,9,Life Sciences,Male,Healthcare Representative,4,Married,4876,No,5,3
210,46,Travel_Rarely,Research & Development,1,Medical,Male,Healthcare Representative,1,Divorced,9396,No,17,4
211,32,Travel_Rarely,Sales,4,Medical,Male,Sales Executive,4,Married,10400,No,14,14
212,30,Non-Travel,Research & Development,1,Life Sciences,Male,Manufacturing Director,3,Single,8474,No,12,11
213,27,Travel_Frequently,Sales,20,Life Sciences,Female,Sales Executive,3,Single,9981,No,7,7
214,51,Travel_Rarely,Research & Development,8,Life Sciences,Male,Research Director,2,Married,12490,No,16,10
215,30,Travel_Rarely,Research & Development,3,Technical Degree,Female,Research Scientist,1,Single,2657,Yes,8,5
216,41,Travel_Rarely,Sales,6,Life Sciences,Female,Manager,4,Single,13591,Yes,16,1
217,30,Travel_Frequently,Sales,26,Marketing,Female,Sales Executive,1,Single,6696,No,9,6
218,29,Travel_Rarely,Research & Development,1,Technical Degree,Male,Research Scientist,3,Single,2058,No,7,6
219,45,Non-Travel,Sales,6,Medical,Female,Sales Executive,4,Single,8865,No,23,19
220,54,Travel_Rarely,Sales,3,Marketing,Female,Sales Executive,1,Married,5940,No,16,6
221,36,Travel_Rarely,Research & Development,5,Life Sciences,Male,Laboratory Technician,2,Single,5914,No,16,13
222,33,Travel_Rarely,Research & Development,4,Medical,Female,Research Scientist,2,Married,2622,No,7,3
223,37,Travel_Frequently,Research & Development,11,Other,Male,Research Director,4,Divorced,12185,Yes,10,10
224,38,Travel_Rarely,Sales,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,No,17,16
225,31,Non-Travel,Research & Development,1,Medical,Male,Manufacturing Director,3,Married,4345,No,6,5
226,59,Travel_Rarely,Research & Development,3,Life Sciences,Male,Research Scientist,4,Married,2177,No,7,1
227,37,Travel_Frequently,Sales,4,Marketing,Male,Sales Representative,4,Divorced,2793,No,13,9
228,29,Travel_Frequently,Sales,1,Medical,Female,Sales Executive,4,Married,7918,No,11,11
229,35,Travel_Frequently,Sales,1,Marketing,Female,Sales Executive,3,Single,8789,No,10,10
230,29,Travel_Rarely,Research & Development,18,Medical,Male,Research Scientist,4,Single,2389,Yes,4,4
231,52,Travel_Rarely,Research & Development,2,Life Sciences,Female,Laboratory Technician,4,Single,3212,No,6,2
232,42,Travel_Rarely,Research & Development,4,Technical Degree,Male,Manager,4,Married,19232,No,22,22
233,59,Travel_Rarely,Human Resources,6,Medical,Male,Human Resources,3,Married,2267,No,7,2
234,50,Travel_Rarely,Sales,1,Medical,Female,Manager,4,Divorced,19517,No,32,7
235,33,Travel_Rarely,Research & Development,14,Medical,Male,Laboratory Technician,4,Married,2436,Yes,8,5
236,43,Travel_Rarely,Sales,16,Marketing,Female,Manager,4,Married,16064,Yes,22,17
237,33,Travel_Rarely,Research & Development,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,No,13,9
238,52,Non-Travel,Sales,2,Life Sciences,Male,Manager,3,Single,19068,Yes,33,33
239,32,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Representative,2,Married,3931,No,6,4
240,32,Travel_Rarely,Research & Development,1,Life Sciences,Male,Laboratory Technician,3,Single,3730,Yes,4,3
241,39,Travel_Rarely,Research & Development,1,Medical,Female,Laboratory Technician,3,Divorced,2232,No,7,3
242,32,Non-Travel,Sales,26,Marketing,Male,Sales Executive,4,Married,4465,No,4,3
243,41,Travel_Rarely,Research & Development,19,Life Sciences,Male,Research Scientist,1,Divorced,3072,No,17,1
244,40,Travel_Rarely,Research & Development,24,Technical Degree,Male,Research Scientist,4,Divorced,3319,No,9,9
245,45,Travel_Rarely,Research & Development,1,Other,Male,Manager,4,Married,19202,No,25,24
246,31,Travel_Frequently,Research & Development,3,Medical,Male,Research Director,3,Divorced,13675,No,9,2
247,33,Travel_Rarely,Research & Development,5,Life Sciences,Female,Research Scientist,4,Married,2911,No,2,2
248,34,Travel_Rarely,Research & Development,2,Life Sciences,Male,Manufacturing Director,1,Married,5957,No,13,11
249,37,Travel_Rarely,Research & Development,1,Medical,Female,Research Scientist,1,Married,3920,No,17,3
250,45,Travel_Frequently,Research & Development,7,Life Sciences,Male,Manufacturing Director,3,Married,6434,No,9,3
251,37,Travel_Frequently,Research & Development,10,Medical,Male,Manufacturing Director,3,Divorced,10048,No,17,1
252,39,Travel_Frequently,Research & Development,2,Technical Degree,Female,Healthcare Representative,3,Single,10938,No,20,19
253,29,Travel_Rarely,Research & Development,15,Life Sciences,Male,Research Scientist,4,Single,2340,No,6,6
254,42,Travel_Rarely,Research & Development,17,Life Sciences,Female,Research Scientist,1,Single,6545,Yes,10,3
255,29,Travel_Rarely,Sales,20,Marketing,Male,Sales Executive,4,Divorced,6931,No,10,3
256,25,Travel_Rarely,Research & Development,1,Life Sciences,Female,Manufacturing Director,3,Married,4898,No,5,4
257,42,Travel_Rarely,Research & Development,2,Medical,Female,Laboratory Technician,1,Divorced,2593,Yes,10,9
258,40,Travel_Rarely,Research & Development,2,Medical,Male,Research Director,3,Divorced,19436,No,22,21
259,51,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,4,Married,2723,No,1,1
260,31,Travel_Frequently,Research & Development,29,Medical,Male,Laboratory Technician,2,Single,3479,No,6,5
261,32,Travel_Frequently,Research & Development,7,Life Sciences,Male,Laboratory Technician,2,Married,2794,No,5,5
262,38,Non-Travel,Sales,2,Life Sciences,Male,Sales Executive,4,Married,5249,No,13,8
263,32,Travel_Rarely,Research & Development,2,Technical Degree,Male,Laboratory Technician,1,Single,2176,No,9,6
264,46,Travel_Rarely,Sales,2,Technical Degree,Female,Manager,2,Married,16872,Yes,28,7
265,28,Travel_Rarely,Research & Development,2,Life Sciences,Male,Laboratory Technician,3,Single,3485,No,5,0
266,29,Travel_Rarely,Sales,2,Medical,Male,Sales Executive,2,Married,6644,No,10,0
267,31,Travel_Rarely,Research & Development,23,Medical,Male,Healthcare Representative,4,Married,5582,No,10,9
268,25,Non-Travel,Research & Development,5,Life Sciences,Male,Healthcare Representative,1,Divorced,4000,No,6,6
269,45,Travel_Rarely,Research & Development,20,Medical,Male,Healthcare Representative,4,Married,13496,Yes,21,20
